symbol,date,price
종근당,04-24-2018,117500
종근당,04-25-2018,118000
종근당,04-26-2018,118000
종근당,04-27-2018,120000
종근당,04-30-2018,117000
종근당,05-02-2018,116500
종근당,05-03-2018,114000
종근당,05-04-2018,113500
종근당,05-08-2018,112000
종근당,05-09-2018,113500
종근당,05-10-2018,111500
종근당,05-11-2018,111500
종근당,05-14-2018,112500
종근당,05-15-2018,111000
종근당,05-16-2018,111500
종근당,05-17-2018,112500
종근당,05-18-2018,112000
종근당,05-21-2018,112000
종근당,05-23-2018,110000
종근당,05-24-2018,110500
종근당,05-25-2018,110500
종근당,05-28-2018,109000
종근당,05-29-2018,109000
종근당,05-30-2018,103500
종근당,05-31-2018,105000
종근당,06-01-2018,108000
종근당,06-04-2018,108000
종근당,06-05-2018,105500
종근당,06-07-2018,105500
종근당,06-08-2018,106000
종근당,06-11-2018,105500
종근당,06-12-2018,107000
종근당,06-14-2018,103500
종근당,06-15-2018,103500
종근당,06-18-2018,101000
종근당,06-19-2018,98300
종근당,06-20-2018,99900
종근당,06-21-2018,98700
종근당,06-22-2018,99900
종근당,06-25-2018,101500
종근당,06-26-2018,102000
종근당,06-27-2018,103000
종근당,06-28-2018,100500
종근당,06-29-2018,100500
종근당,07-02-2018,98100
종근당,07-03-2018,98500
종근당,07-04-2018,103000
종근당,07-05-2018,99800
종근당,07-06-2018,101500
종근당,07-09-2018,101500
종근당,07-10-2018,102000
종근당,07-11-2018,100500
종근당,07-12-2018,103000
종근당,07-13-2018,102000
종근당,07-16-2018,101500
종근당,07-17-2018,102500
종근당,07-18-2018,99900
종근당,07-19-2018,98100
종근당,07-20-2018,98400
종근당,07-23-2018,97400
종근당,07-24-2018,96500
종근당,07-25-2018,95500
종근당,07-26-2018,97100
종근당,07-27-2018,96000
종근당,07-30-2018,97000
종근당,07-31-2018,104500
종근당,08-01-2018,104500
종근당,08-02-2018,104500
종근당,08-03-2018,105500
종근당,08-06-2018,105500
종근당,08-07-2018,105500
종근당,08-08-2018,105500
종근당,08-09-2018,106500
종근당,08-10-2018,106000
종근당,08-13-2018,105000
종근당,08-14-2018,106000
종근당,08-16-2018,103000
종근당,08-17-2018,107000
종근당,08-20-2018,105500
종근당,08-21-2018,108500
종근당,08-22-2018,105000
종근당,08-23-2018,104000
종근당,08-24-2018,104500
종근당,08-27-2018,106500
종근당,08-28-2018,106500
종근당,08-29-2018,107500
종근당,08-30-2018,106500
종근당,08-31-2018,108500
종근당,09-03-2018,109500
종근당,09-04-2018,112500
종근당,09-05-2018,110000
종근당,09-06-2018,108500
종근당,09-07-2018,112000
종근당,09-10-2018,110500
종근당,09-11-2018,114000
종근당,09-12-2018,115000
종근당,09-13-2018,113000
종근당,09-14-2018,113500
종근당,09-17-2018,112000
종근당,09-18-2018,113500
종근당,09-19-2018,113500
종근당,09-20-2018,115000
종근당,09-21-2018,115000
종근당,09-27-2018,116000
종근당,09-28-2018,118000
종근당,10-01-2018,114000
종근당,10-02-2018,110000
종근당,10-04-2018,111500
종근당,10-05-2018,108000
종근당,10-08-2018,106000
종근당,10-10-2018,101000
종근당,10-11-2018,96400
종근당,10-12-2018,97900
종근당,10-15-2018,94600
종근당,10-16-2018,96700
종근당,10-17-2018,97200
종근당,10-18-2018,96400
종근당,10-19-2018,97900
종근당,10-22-2018,97300
종근당,10-23-2018,93500
종근당,10-24-2018,95400
종근당,10-25-2018,93900
종근당,10-26-2018,90800
종근당,10-29-2018,88300
종근당,10-30-2018,89700
종근당,10-31-2018,86700
종근당,11-01-2018,86900
종근당,11-02-2018,90700
종근당,11-05-2018,92200
종근당,11-06-2018,95100
종근당,11-07-2018,93200
종근당,11-08-2018,96000
종근당,11-09-2018,93800
종근당,11-12-2018,91900
종근당,11-13-2018,94500
종근당,11-14-2018,96300
종근당,11-15-2018,97500
종근당,11-16-2018,99800
종근당,11-19-2018,103500
종근당,11-20-2018,102000
종근당,11-21-2018,103000
종근당,11-22-2018,102000
종근당,11-23-2018,100000
종근당,11-26-2018,102000
종근당,11-27-2018,101000
종근당,11-28-2018,99900
종근당,11-29-2018,101000
종근당,11-30-2018,102500
종근당,12-03-2018,103000
종근당,12-04-2018,106000
종근당,12-05-2018,110500
종근당,12-06-2018,111000
종근당,12-07-2018,109000
종근당,12-10-2018,109500
종근당,12-11-2018,107500
종근당,12-12-2018,109500
종근당,12-13-2018,110500
종근당,12-14-2018,108500
종근당,12-17-2018,108500
종근당,12-18-2018,106500
